content,Positive,Neutral,Negative,Sentiment
那我来给大家介绍下MGK美国著名白人说唱歌手就是DISSeminem那个MGK满身纹身拍摄时候拿一种类似皮肤衣的人造皮肤遮住了每次粘贴要耗时五六个小时他的音乐比较前沿说唱和金属结合的那种感兴趣的可以去听听另外中国不是出不了好乐队好的说唱歌手是因为中国禁毒力度太强了管的太严了大家想听好的中国摇滚的话可以呼吁政府只让玩摇滚和玩说唱的吸毒（逃）,0.62272551,,0.37727449,positive
音乐是亮点！,0.55705439,,0.44294561,positive
丹叔的演技加上季默大神的音乐把氛围烘托的悲凉又深情；幽灵党排队戏给90分，,0.35168946,,0.64831054,negative
插入些狗币音乐就很扰乱情绪和氛围，,0.40559441,,0.59440559,negative
复古乡村音乐还不错，,0.73001748,,0.26998252,positive
音乐还可以。,0.72874699,,0.27125301,positive
若把《漂洋过海来看你》用作背景音乐想必也是应景的。,0.53558462,,0.46441538,positive
又随着DavidBowie的音乐摇头晃脑。,0.43464065,,0.56535935,negative
经典的音乐一出来，,0.62825118,,0.37174882,positive
总之听到主题音乐就能激动很久！,0.63613128,,0.36386872,positive
Queen的音乐《Don'tStopMeNow》骤然出现那段我给满分！,0.65873203,,0.34126797,positive
"故事性:4分音乐:3.5分类型片:3.5分剪辑:4分特效:3.5分寓意:4分演员:4分节奏:3.5分笑果:3.5分爽度:3.5分DC系列:3.5分yes,thisisDC",0.60541476,,0.39458524,positive
音乐以及一切的一切。,0.47906335,,0.52093665,negative
以及创作组新发现的音乐风格。,0.5652135,,0.4347865,positive
迪士尼的音乐风格太有特点了，,0.64238397,,0.35761603,positive
超爱这种穿插音乐的动画阿这么多夏天泰瑞都在默默陪伴好帅气这个电影可能没有动画那么有创意的剧情但是能看到姐弟一家亲也很开心啦哈哈哈飞哥与小佛总是用细节来打动我比如外星人虽然一样的制服和肤色身高看着都差不多但女生的睫毛数量会不一样男生会有的有睫毛有的没睫毛有的宽下巴有的尖下巴看着真的很轻松对我来说还有点治愈他们拥有的真的是很厉害很酷的夏天🎶,0.70029644,,0.29970356,positive
undiegetic音乐像片头的浪潮一样令人窒息心慌...前面剧情少许平缓冗长，,0.496047,,0.503953,negative
不是简单的配上拉风音乐就能有炸裂效果的啊，,0.57988254,,0.42011746,positive
音乐一颤一颤震得我心脏也跟着难受，,0.27559772,,0.72440228,negative
配上出彩的音乐真的是过瘾。,0.5445716,,0.4554284,positive
音乐还不错。,0.73094208,,0.26905792,positive
音乐好评！,0.73105417,,0.26894583,positive
音乐，,0.49922547,,0.50077453,negative
音乐也很好。,0.73062317,,0.26937683,positive
甚至可以说本来就是给Max实验音乐拍的一部超长MV。,0.55287356,,0.44712644,positive
音乐和音效我给12/10分。,0.5410424,,0.4589576,positive
说起来该片摄影师合作的导演都音乐品味斐然，,0.53466623,,0.46533377,positive
后些个还是有点儿仰赖背景音乐的烘托。,0.5716128,,0.4283872,positive
音乐太适合灵魂这个主题了，,0.50533692,,0.49466308,positive
全片的音乐太动人了。,0.55429519,,0.44570481,positive
以及带有对“灵魂”与“存在”哲学性思考的内核;画面音乐剧情都将近完美，,0.52882374,,0.47117626,positive
不是地铁站里动听的音乐，,0.49860391,,0.50139609,negative
《寻梦环游记》用音乐找回亲情，,0.51506388,,0.48493612,positive
而《心灵奇旅》用音乐拥抱生活，,0.54208858,,0.45791142,positive
通过一个音乐老师濒死灵魂出窍的点子，,0.49998921,,0.50001079,negative
这部电影用最贴切的镜头语言和音乐语言准确地传达出来了。,0.57238389,,0.42761611,positive
不着调的音乐也可以jazzing，,0.60412123,,0.39587877,positive
音乐天赋竟然成了血统纯正的家族遗传，,0.56873733,,0.43126267,positive
乔误以为音乐梦想是生活的出口，,0.48209703,,0.51790297,negative
一看就是冲击奥斯卡最佳动画/最佳原创音乐的架势，,0.52656069,,0.47343931,positive
它有音乐，,0.44206165,,0.55793835,negative
但并不是在讲音乐梦想，,0.49179698,,0.50820302,negative
男主前期对音乐的“功利”性追求在愿望达成后，,0.52927051,,0.47072949,positive
创造出一种音乐性，,0.50374156,,0.49625844,positive
我彻底失去了享受生活中的披萨、棒棒糖、阳光、音乐……,0.53765058,,0.46234942,positive
抱着对音乐题材一向宽容的态度来看，,0.58746956,,0.41253044,positive
仍然无法在音乐里得到满足，,0.33269967,,0.66730033,negative
音乐再好听也于事无补。,0.49970336,,0.50029664,negative
是在地下铁里被音乐感动到震撼的瞬间，,0.62469536,,0.37530464,positive
形而上的存在主义思考被有条不紊的安置于充满音乐性的礼赞的语义，,0.52908849,,0.47091151,positive
无论是沉浸在音乐里，,0.49649766,,0.50350234,negative
就连音乐都没有后面的煽情，,0.42327155,,0.57672845,negative
但是这个音乐也铺的太满了吧，,0.39479239,,0.60520761,negative
音乐带感，,0.50180674,,0.49819326,positive
画面音乐动感，,0.51060152,,0.48939848,positive
堪称与《大群》一脉相承的音乐录影带/广告片美学（但很喜欢从飞奔逃亡到“三年后”的部分，,0.65244447,,0.34755553,positive
堪称与《大群》一脉相承的音乐录影带/广告片美学。,0.56239525,,0.43760475,positive
电影的语境一直在感受和孤独之间游离将事物在宇宙中消失殆尽和落地于尘世间的美好作为比对所见的一切所感知的爱到底在这浩瀚宇宙中值得吗答案到最后几乎很明了了只不过这两性关系中的愉悦部分实在着墨得太多以及令人不适的画幅变换和不合时宜的音乐都让整个探讨心理的过程逐步瓦解…,0.52591829,,0.47408171,positive
音乐还不错，,0.73097951,,0.26902049,positive
和音乐的选择，,0.49873201,,0.50126799,negative
音乐开心www,0.69840771,,0.30159229,positive
结尾有两首音乐好听！,0.72080079,,0.27919921,positive
。音乐剧入侵电影的又一经典案例，,0.63768536,,0.36231464,positive
毕竟玩梗都耍到了自己像音乐剧，,0.4814488,,0.5185512,negative
还融入了音乐剧结构，,0.5040554,,0.4959446,positive
音乐也不错,0.73104862,,0.26895138,positive
画面音乐都是上乘的，,0.51165734,,0.48834266,positive
很清楚自己想要表达一个怎样的故事：摒弃技术干扰；把音乐煽情降到接近零；精准的戏剧结构...将力气着重于演员的表演与情绪，,0.43258222,,0.56741778,negative
背景音乐用得都非常节制。,0.57167437,,0.42832563,positive
平静的画面和音乐却很容易的就调动起了观众的情绪，,0.43793798,,0.56206202,negative
两个半小时的影片塞下了近十条音乐动机显然是过于满了，,0.42440697,,0.57559303,negative
主要靠铺得满满的爆炸音效和背景音乐吸引注意力。,0.67354862,,0.32645138,positive
很多片段是音乐先行剧情还没到高潮音乐就已经拉满煽情煽到恶心,0.30674703,,0.69325297,negative
音乐很庄重，,0.53824993,,0.46175007,positive
音乐铺的过满，,0.51622094,,0.48377906,positive
林超贤所设计的部分音乐很熟悉。,0.56102666,,0.43897334,positive
唯一的惊喜就是音乐了，,0.70348117,,0.29651883,positive
服饰音乐等等，,0.50109182,,0.49890818,positive
音乐不愿停，,0.48893219,,0.51106781,negative
镜头、音乐、那片草地，,0.49029426,,0.50970574,negative
音乐也是，,0.50300402,,0.49699598,positive
但高潮撑不起来用音乐铺也过了。,0.54407034,,0.45592966,positive
纯音乐配乐气氛带动自然。,0.62668486,,0.37331514,positive
音乐剧《冰雪奇缘之第五元素》，,0.51040479,,0.48959521,positive
前半段MV式唱歌有点满即使我知道这是一部典型的迪士尼音乐动画。,0.57932181,,0.42067819,positive
音乐好听(虽比不上第一部)。,0.66862516,,0.33137484,positive
音乐一如既往好听。,0.72830304,,0.27169696,positive
音乐整体比上一部有退步，,0.54001356,,0.45998644,positive
音乐也比第一部好听得多了，,0.70876266,,0.29123734,positive
而且专辑里明明有那么多音乐好像都没全部出现在正片里，,0.45965211,,0.54034789,negative
音乐无疑问是承担反抗性的最佳艺术形式，,0.48361027,,0.51638973,negative
音乐上感觉很想重复letitgo的成功但所有歌都真的不太行，,0.63315134,,0.36684866,positive
音乐上，,0.45773585,,0.54226415,negative
第二部的音乐似乎不够洗脑（和歌曲难度大有关？,0.41306956,,0.58693044,negative
音乐也乏善可陈。,0.36494325,,0.63505675,negative
而这部所有音乐的出现都是印度歌舞化的，,0.60793373,,0.39206627,positive
导致这部无论音乐剧情都逊色不少。,0.52465195,,0.47534805,positive
看完电影完全没有能记起的美妙音乐，,0.45090331,,0.54909669,negative
看完2不自觉又打开1的音乐合集。,0.41738693,,0.58261307,negative
还好意思配那么多音乐～简直就是剧情不够舞曲来凑。,0.4122652,,0.5877348,negative
剧情和音乐基本没什么亮点，,0.4907665,,0.5092335,negative
而且音乐明显不如上一部的感染力，,0.49407359,,0.50592641,negative
音乐反而把剧情切得更碎了。,0.3487872,,0.6512128,negative
音乐方面虽然不指望可以直接复刻一个爆款奇迹，,0.48102114,,0.51897886,negative
音乐剧都要失格。,0.44450043,,0.55549957,negative
音乐上其实并不逊色于第一部，,0.5135342,,0.4864658,positive
2.音乐太平庸，,0.46186087,,0.53813913,negative
好音乐大概比好技术难得得多。,0.64723739,,0.35276261,positive
不过歌的音乐性比第一部复杂好多，,0.53000748,,0.46999252,positive
更音乐剧。,0.49879428,,0.50120572,negative
#冰雪奇缘2#如果你们真的是因为“音乐多”而去给迪士尼的这部电影打差评的话，,0.30882492,,0.69117508,negative
无论是剧情还是音乐动听度都远不及第一部！,0.65328668,,0.34671332,positive
无比精致华丽的画面和动听的音乐一直是迪士尼的看家法宝，,0.66653499,,0.33346501,positive
真·大型MV～完全是看了3D动画片的音乐剧嘛。,0.50789516,,0.49210484,positive
音乐非常棒，,0.73103726,,0.26896274,positive
"背景音乐用变奏的ClairdeLune,SomewhereOvertheRainbow都好好听啊。",0.70852763,,0.29147237,positive
音乐超级燃，,0.43566401,,0.56433599,negative
音乐、氛围什么的，,0.52097645,,0.47902355,positive
最后一幕重返酒店再现航拍视角+经典音乐一响鸡皮疙瘩就起来了。,0.62195304,,0.37804696,positive
音乐原声带都呈现出一定的审美与创作用心，,0.58013088,,0.41986912,positive
除了音乐致敬2001环游太空以外，,0.51751478,,0.48248522,positive
充满音乐的律动感,0.62379961,,0.37620039,positive
B+.剧本剪辑音乐交相呼应，,0.52862952,,0.47137048,positive
到他手里音乐停了。,0.50524537,,0.49475463,positive
并伴随着欢快的音乐那一幕，,0.67998015,,0.32001985,positive
不要在工作的时候戴着耳机听音乐。,0.36510474,,0.63489526,negative
音乐挺好。,0.73073339,,0.26926661,positive
每个暴力场面永远要配上属于“权利上层”的悠扬音乐来显示一种自上而下的权力结构。,0.45972954,,0.54027046,negative
除了音乐之外，,0.49883615,,0.50116385,negative
音乐太厉害了。,0.71179754,,0.28820246,positive
啥时候“qq音乐三巨头”的歌能被搬上大银幕？,0.46460863,,0.53539137,negative
卢庚戌开头自嘲了一把音乐IP改编电影，,0.42971784,,0.57028216,negative
全片最佳是片尾的音乐会记录，,0.55584575,,0.44415425,positive
卢庚戌能在音乐道路上独立行走，,0.38997356,,0.61002644,negative
《一生有你》已经移出网易云音乐歌单。,0.54920091,,0.45079909,positive
1080#我的初中有音乐课，,0.46360359,,0.53639641,negative
音乐老师某次上课时突然来了一句“卢庚戌专心写歌就很好，,0.70559234,,0.29440766,positive
电影不具备音乐性，,0.49233433,,0.50766567,negative
也就是一部音乐ip改编，,0.47139291,,0.52860709,negative
校园纯爱和音乐梦想都是比较老的套路了，,0.59449361,,0.40550639,positive
一星给音乐，,0.2725868,,0.7274132,negative
中国的电影继放不过小说后又开始瞄准音乐市场了，,0.55120764,,0.44879236,positive
“音乐是我的梦想，,0.49926744,,0.50073256,negative
不尊重音乐人。,0.26993093,,0.73006907,negative
在音乐的路上，,0.47353607,,0.52646393,negative
音乐戏这么不堪入耳，,0.27853834,,0.72146166,negative
原来是说音乐🎵的，,0.49494322,,0.50505678,negative
音乐其实是可以再加持一下的；三是，,0.55276535,,0.44723465,positive
音乐很棒啊，,0.73096229,,0.26903771,positive
但选用的音乐依然是英语。,0.50673929,,0.49326071,positive
这背景音乐还整的挺有感觉，,0.64644147,,0.35355853,positive
背景音乐声很大，,0.58072136,,0.41927864,positive
靠音乐硬煽节奏，,0.38572586,,0.61427414,negative
台词垮、音乐垮、人设垮、节奏垮。,0.49083411,,0.50916589,negative
丧钟般的音乐让人瞬间寒毛直竖。,0.45974583,,0.54025417,negative
音乐，,0.49922547,,0.50077453,negative
超爱94版大姐但Emma真的完全不像大姐的样子不知道是不是过度插叙Jo和教授的感情线也变得几乎没有以至于后面追出去真的像被看热闹的姐妹推出去很奇怪的还有感觉整个故事和书的分割写书后镜头太多音乐太宏伟让我觉得电影的主旨好像是想说这本书是怎样写成的而不是四姐妹的故事卡司没有拯救这部电影改编也没有（到最后也一头雾水不知道Jo和教授是真的在一起还是在书里在一起而已以上是我做了两小时英语听力后的激情开麦）,0.50288886,,0.49711114,positive
服化道、摄影、音乐极美，,0.55940348,,0.44059652,positive
问题是电影中表现的她们的表演写作音乐绘画才能，,0.51696583,,0.48303417,positive
音乐好棒！,0.73105594,,0.26894406,positive
音乐强行煽情，,0.46474176,,0.53525824,negative
一星给背景音乐和《忠勇真》的古诗翻译,0.48282843,,0.51717157,negative
"各种stéréotypes,还少了动画里最亮眼的幽默、轻巧以及音乐剧元素。",0.65167103,,0.34832897,positive
背景音乐烘托的还行。,0.5242914,,0.4757086,positive
在郊外施暴的时候还在放欢快的背景音乐。,0.51010426,,0.48989574,positive
音乐还是好听的，,0.68698202,,0.31301798,positive
音乐好听他救了她她却没救得了他结局太差了好像是要消失一个人才能让女主重获新生躁郁症原生家庭的伤害很痛苦但是本不应该是这样一个结局范宁体态越发...,0.28438152,,0.71561848,negative
中规中矩；音乐太满了，,0.65666933,,0.34333067,positive
但是太靠音乐带气氛，,0.35409138,,0.64590862,negative
音乐比剧本好。,0.65010214,,0.34989786,positive
为了音乐和JusticeSmith加一星，,0.36201074,,0.63798926,negative
音乐很棒!stayawake,0.73030893,,0.26969107,positive
音乐很美，,0.73103411,,0.26896589,positive
"我只能说“Well,Nicetry”～音乐插曲成了掩饰影片节奏不行的存在。",0.51988602,,0.48011398,positive
不过音乐不错，,0.73059907,,0.26940093,positive
更何况还有好听到爆的音乐来让你颅内高潮呢。,0.51717412,,0.48282588,positive
三段乡村音乐都呼应着金刚的心境，,0.50067409,,0.49932591,positive
这部电影让我想起我的游记标题：《随时有水、音乐和记忆漫上来的新奥尔良》。,0.58199,,0.41801,positive
音乐可以单独加两星。,0.50622662,,0.49377338,positive
80年代电子音乐风也过于突兀。,0.5078989,,0.4921011,positive
metal/synthwave并存的音乐❤️,0.5062976,,0.4937024,positive
音乐一如既往的赞，,0.73040603,,0.26959397,positive
优秀的音乐品味，,0.7284454,,0.2715546,positive
剧情音乐人物调侃了多部经典科幻片，,0.575673,,0.424327,positive
音乐不错，,0.73099613,,0.26900387,positive
还不如翻拍音乐剧，,0.32188086,,0.67811914,negative
海绵宝宝和派大星反复道早安、章鱼哥的一系列操作导致烤架“炸”飞、松鼠珊迪开汉堡快车、小派大星的“眼泪水枪”、痞老板推不动派大星反而不慎“挤”入其屁股等段落不时把小外甥们逗得哈哈大笑；3.听到《泰坦尼克号》主题曲《MyHeartWillGoOn》纯音乐竖笛版，,0.45889065,,0.54110935,negative
音乐加点分,0.50579763,,0.49420237,positive
服化道和音乐以及美术真烧钱，,0.42635427,,0.57364573,negative
把西方的优秀歌剧、音乐剧改编成国产电影，,0.58518371,,0.41481629,positive
音乐好听，,0.66072879,,0.33927121,positive
音乐很美，,0.73103411,,0.26896589,positive
但是里面的音乐好听。,0.66847317,,0.33152683,positive
亮点自然还是颜值、音乐和无压力观影。,0.48791304,,0.51208696,negative
音乐可以，,0.66856925,,0.33143075,positive
」很喜欢这部电影的音乐和景色，,0.72922758,,0.27077242,positive
靠颜值和音乐硬撑的一部电影，,0.48527122,,0.51472878,negative
以及音乐剧类型片的大手子？,0.52069925,,0.47930075,positive
剧作结构依赖于音乐推进。,0.49473955,,0.50526045,negative
音乐剧戏份设置出色。,0.68468752,,0.31531248,positive
等到听完片尾音乐，,0.37480715,,0.62519285,negative
音乐很好听，,0.73064863,,0.26935137,positive
这么庞大的音乐在黑暗的小场景里大，,0.34686143,,0.65313857,negative
包括大量经典音乐的运用。,0.6737037,,0.3262963,positive
美指和音乐100分，,0.35418305,,0.64581695,negative
再加入一堆爽得不行的音乐和时尚元素，,0.59411352,,0.40588648,positive
满分音乐，,0.49942053,,0.50057947,negative
一星给音乐一星给服装，,0.26943348,,0.73056652,negative
漂亮的衣服好听的音乐美丽的女主角，,0.71722668,,0.28277332,positive
虽然有bug假死很奇怪街头烟雾时装音乐秀也很奇怪但是！,0.40069533,,0.59930467,negative
音乐用的很泛滥也很讨巧，,0.42653819,,0.57346181,negative
服装和音乐很种草,0.49218589,,0.50781411,negative
音乐也可以，,0.72862237,,0.27137763,positive
音乐也不动听，,0.4537488,,0.5462512,negative
这里联动的哪吒出场音乐也好燃，,0.58771179,,0.41228821,positive
角色一堆导致叙事不集中；主题、设定甚至音乐方面，,0.45087692,,0.54912308,negative
青春恋爱物语带点音乐元素（少男少女会喜欢的剧情）感觉这个小女主角有些压不住戏！,0.61217618,,0.38782382,positive
最初的音乐梦想，,0.49962773,,0.50037227,negative
充满了音乐和逝去时代的不羁和放荡。,0.35362747,,0.64637253,negative
开始以为会是《如此美好》那样的怀旧青春音乐故事，,0.54880498,,0.45119502,positive
看得我又是流眼泪又是流鼻涕的；虽然说最后都有一个音乐天才的出现，,0.44788276,,0.55211724,negative
所以放弃了最爱的音乐，,0.40204466,,0.59795534,negative
三星给画面和音乐。,0.47650831,,0.52349169,negative
音乐几乎没有(有也被忽略了)，,0.40773082,,0.59226918,negative
最让我惊艳的就是她居然会用背景音乐了！,0.65894125,,0.34105875,positive
政治、音乐，,0.49919001,,0.50080999,negative
对不起我脸盲了...音乐不错,0.28025144,,0.71974856,negative
全靠背景音乐。,0.49841959,,0.50158041,negative
什么悬疑青春都没有所有的悬疑全部靠背景音乐和吼，,0.4578928,,0.5421072,negative
音乐使用极为节制，,0.50254704,,0.49745296,positive
几乎没有音乐成份，,0.29344248,,0.70655752,negative
冲音乐来许要失望。,0.2732389,,0.7267611,negative
为何要放弃音乐？,0.32907586,,0.67092414,negative
是为女票打鼓还是为音乐打鼓？,0.51858135,,0.48141865,positive
尤其是对搞音乐的人来说。,0.54504919,,0.45495081,positive
马/音乐是自己生命中最重要的事，,0.54082714,,0.45917286,positive
还以为又是音乐人飞蛾扑火的炸裂之旅，,0.34703712,,0.65296288,negative
然而如果各位想看当一部音乐片来看，,0.50574046,,0.49425954,positive
没看之前以为是音乐片，,0.34512513,,0.65487487,negative
音乐人身份几乎消失，,0.3276709,,0.6723291,negative
请购买金属之声牌耳蜗!原来一个噪音乐手跟我讲，,0.3636171,,0.6363829,negative
我原来以为是音乐片的。,0.37725409,,0.62274591,negative
打着音乐与复健的幌子实则是一个浪漫无比的爱情片。,0.48896573,,0.51103427,negative
然后就因此以为这是部音乐片？,0.43496801,,0.56503199,negative
但跟音乐关系不大。,0.46238968,,0.53761032,negative
但作为音乐人丧失听力这一条线的矛盾刻画还不够，,0.30545224,,0.69454776,negative
却并非臆想中把目光聚焦在音乐，,0.43472609,,0.56527391,negative
音乐人失聪初始情节挺滥套的，,0.53718672,,0.46281328,positive
海报和片名的音乐片误导性太强了。,0.51098437,,0.48901563,positive
甚至还是克制的；只是遗憾于既然是套了层音乐片的壳，,0.2754116,,0.7245884,negative
其实对于鼓手来说音乐又何止震动跟耳膜的关系？,0.38013138,,0.61986862,negative
我曾在两组以不同频率闪烁的led灯带所形成的律动都感到其中的音乐性，,0.4589857,,0.5410143,negative
一开始以为是讲音乐的片子，,0.38215175,,0.61784825,negative
就能继续音乐生涯，,0.52410353,,0.47589647,positive
回不去了——不管是音乐还是爱情，,0.50080964,,0.49919036,positive
失去听力的音乐人是不错的人设，,0.51322445,,0.48677555,positive
音乐铺的这个底让片子底色相当坚实和strong，,0.59699541,,0.40300459,positive
作为一个爱音乐的人，,0.36592056,,0.63407944,negative
但电影里面设定的人物是搞音乐的，,0.51607745,,0.48392255,positive
这对于爱音乐的人来说，,0.45504278,,0.54495722,negative
也以为失聪后的乐手在重新寻找听力的过程中会再次回到音乐上或是和音乐产生什么关联，,0.40251006,,0.59748994,negative
怎么还是系鞋带听音乐这一套啊，,0.44152453,,0.55847547,negative
垮了垃圾音乐,0.27443943,,0.72556057,negative
但也仅限于对音乐的使用和元电影的指涉，,0.42840781,,0.57159219,negative
音乐滥用也可以不是问题，,0.37831629,,0.62168371,negative
所以选的音乐都是她当时听的而不是明显的八十年代音乐，,0.49488102,,0.50511898,negative
虽然看不懂但我知道有意义音乐好好听,0.69910414,,0.30089586,positive
电影的音乐都非常突兀的突然响起，,0.39249125,,0.60750875,negative
一个音乐片片段，,0.53572047,,0.46427953,positive
第二部电影中添加了很多音乐元素，,0.52477232,,0.47522768,positive
霍格的音乐品味真挺高，,0.66090318,,0.33909682,positive
音乐好听，,0.66072879,,0.33927121,positive
音乐精彩，,0.60062744,,0.39937256,positive
节奏性的剪辑风格、复古金曲的背景音乐，,0.49424252,,0.50575748,negative
音乐品味和视觉风格都得到了充分释放，,0.36776361,,0.63223639,negative
以及全片的音乐，,0.47791816,,0.52208184,negative
4.3音乐给的乱七八糟满到不行。,0.34296727,,0.65703273,negative
音乐也和游戏有一拼。,0.48996877,,0.51003123,negative
用音乐催眠警员的时候，,0.49077475,,0.50922525,negative
在作出重要决定的时候都是受音乐的影响。,0.4973149,,0.5026851,negative
只要你有需要、又把音乐选对了，,0.50989313,,0.49010687,positive
第二段“一鸣”就像那恰好响起的学生时代音乐，,0.50915486,,0.49084514,positive
音乐选取上涵盖了流行、古典和歌剧，,0.55116468,,0.44883532,positive
音乐的加入比较刻意。,0.4971274,,0.5028726,negative
波蓝波宇这回的音乐用得太玩味了！,0.50978453,,0.49021547,positive
音乐用的很有趣，,0.71942666,,0.28057334,positive
最后新加坡的「音乐秀」以及字幕结束后画外音「感谢大家收看，,0.6353598,,0.3646402,positive
而背后是形式与内容的高度统一（口哨语言（颜色、音乐）作为形式）。,0.57727185,,0.42272815,positive
最后的音乐让人一秒想起贾樟柯？,0.46745359,,0.53254641,negative
配着灯光秀和古典串烧音乐，,0.50737663,,0.49262337,positive
音乐响度快把耳朵震聋了。,0.37891353,,0.62108647,negative
但缺乏一段好的音乐去进行升华。,0.45866203,,0.54133797,negative
音乐很不错，,0.73105702,,0.26894298,positive
签一个手卡一个点还配一个眼神标准mv创意（音乐再投个格莱美没问题）。,0.68550245,,0.31449755,positive
（音乐好赞,0.73105808,,0.26894192,positive
